                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0755,                 1.1716,                 1.3031,                0.80599,                0.61471,                0.70746,                 0.3742,                 1.6236,                  2.153,                 1.8385,             0.00028176,             0.00028176,             0.00028176
                     35,                 1.1184,                 1.1944,                 1.3063,                0.81739,                0.61539,                0.69327,                0.37062,                 1.6177,                 2.1517,                  1.808,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.1222,                  1.188,                 1.3213,                0.70825,                0.63132,                0.68977,                0.36054,                 1.6327,                 2.1423,                 1.8398,             0.00025131,             0.00025131,             0.00025131
                     37,                 1.0906,                 1.1055,                 1.2875,                 0.7135,                0.61133,                0.69204,                0.39188,                 1.6231,                 2.1579,                  1.837,             0.00023608,             0.00023608,             0.00023608
                     38,                 1.0537,                 1.0638,                 1.2698,                0.85481,                0.58191,                 0.6885,                0.39319,                 1.5762,                 2.0781,                 1.7818,             0.00022086,             0.00022086,             0.00022086
                     39,                 1.0549,                 1.0931,                 1.2905,                0.73453,                 0.6745,                 0.6937,                0.39113,                  1.583,                 2.0848,                 1.7985,             0.00020563,             0.00020563,             0.00020563
                     40,                 1.0447,                 1.0637,                 1.2741,                0.82498,                0.62972,                0.70896,                0.38185,                 1.5825,                 2.0546,                 1.8221,              0.0001904,              0.0001904,              0.0001904
                     41,                0.94817,                 1.1134,                 1.3021,                0.81714,                0.59734,                 0.6573,                0.34553,                 1.6223,                 2.1767,                  1.824,             0.00017518,             0.00017518,             0.00017518
                     42,                0.96873,                 0.9692,                 1.3006,                0.81641,                 0.6204,                 0.6934,                0.38032,                 1.5828,                 2.1814,                 1.8461,             0.00015995,             0.00015995,             0.00015995
                     43,                0.91254,                0.93234,                 1.2572,                 0.7914,                0.59975,                0.66542,                0.36994,                 1.5897,                 2.1636,                 1.8451,             0.00014473,             0.00014473,             0.00014473
                     44,                 0.8859,                0.90634,                  1.243,                0.82532,                0.60106,                0.68668,                0.37884,                 1.5933,                 2.1338,                  1.848,              0.0001295,              0.0001295,              0.0001295
                     45,                0.87264,                0.86841,                 1.2412,                0.79339,                0.63898,                0.69654,                 0.3812,                 1.5919,                  2.155,                 1.8516,             0.00011427,             0.00011427,             0.00011427
                     46,                0.87669,                0.86865,                 1.2282,                0.77043,                0.65189,                 0.7026,                0.38524,                 1.5149,                 2.1132,                 1.7966,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.86377,                0.81978,                 1.2111,                0.79656,                0.63401,                0.69911,                0.37457,                 1.5392,                 2.1258,                 1.8065,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.84585,                0.80017,                 1.2155,                0.75356,                0.65436,                0.69106,                0.37833,                 1.5504,                 2.1361,                 1.8093,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.82404,                0.80798,                  1.208,                0.76119,                0.65788,                0.68032,                 0.3861,                 1.5363,                 2.1682,                  1.802,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.83446,                0.79051,                 1.2087,                0.77856,                0.66704,                0.71235,                 0.3915,                 1.5237,                 2.1291,                 1.8052,             3.8142e-05,             3.8142e-05,             3.8142e-05
